OID_,CID,name,POINT_X,POINT_Y
51,68,gdi812,-68.24710291,44.142803583000443
52,68,gdi1509,-68.24452311,44.142806579497403
53,68,gdi830,-68.24411266,44.142641882007240
54,68,gdi761,-68.24540668,44.142025327001988
55,68,gdi70,-68.24535664,44.142585064581453
56,68,gdi576,-68.24478168,44.142349627395276
57,52,sch1060,-68.03299164,44.335213616000033
58,52,sch854,-68.03320445,44.335240365000061
59,52,sch1060,-68.03299164,44.335213616000033
60,52,sch1235,-68.03278592,44.335202327000047
61,52,sch1109,-68.03261001,44.335160483000038
62,52,sch1235,-68.03278592,44.335202327000047
63,52,sch1268,-68.03248783,44.335099162000063
64,52,sch1109,-68.03261001,44.335160483000038
65,52,sch1235,-68.03278592,44.335202327000047
66,52,sch1261,-68.03221799,44.334968657000047
67,52,sch1268,-68.03248783,44.335099162000063
68,52,sch1109,-68.03261001,44.335160483000038
69,52,sch1235,-68.03278592,44.335202327000047
70,52,sch762,-68.03186467,44.335007408000081
71,52,sch1261,-68.03221799,44.334968657000047
72,52,sch1268,-68.03248783,44.335099162000063
73,52,sch1109,-68.03261001,44.335160483000038
74,52,sch1235,-68.03278592,44.335202327000047
75,52,sch1155,-68.03166886,44.334802560000071
76,52,sch762,-68.03186467,44.335007408000081
